HomeTeam,AwayTeam,Date,FTHG,FTAG,HTHG,HTAG,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
Walsall,Swindon,26/12/2014,1,4,1,1,7,11,3,5,8,12,5,7,2,1,0,0
Bradford,Notts County,28/12/2014,1,0,1,0,12,7,2,0,9,14,8,2,4,1,0,0
Coventry,Chesterfield,28/12/2014,0,0,0,0,14,9,4,2,8,15,8,6,3,2,0,0
Crawley Town,Colchester,28/12/2014,0,0,0,0,8,12,0,4,9,10,4,11,1,0,0,0
Crewe,Preston,28/12/2014,1,1,0,0,2,15,1,6,5,12,2,3,0,0,0,0
Gillingham,Bristol City,28/12/2014,1,3,0,2,11,13,4,7,15,4,7,7,3,2,0,0
Milton Keynes Dons,Walsall,28/12/2014,0,3,0,1,16,12,6,5,4,13,8,4,0,1,0,0
Peterboro,Doncaster,28/12/2014,0,0,0,0,12,9,5,3,12,13,5,7,1,3,0,0
Rochdale,Fleetwood Town,28/12/2014,0,2,0,2,9,8,6,4,12,9,4,7,0,1,0,0
Swindon,Port Vale,28/12/2014,1,0,0,0,11,2,7,1,5,5,6,9,2,2,0,0
Yeovil,Leyton Orient,29/12/2014,0,3,0,1,10,10,4,7,12,9,7,4,0,1,0,0
Fleetwood Town,Swindon,03/01/2015,2,2,0,0,8,16,3,5,19,15,4,7,3,1,0,0
Port Vale,Gillingham,03/01/2015,2,1,1,1,16,13,9,5,6,5,8,5,1,0,0,0
Walsall,Coventry,03/01/2015,0,2,0,1,16,8,6,6,6,13,4,5,0,1,0,0
Barnsley,Yeovil,10/01/2015,2,0,0,0,11,7,4,0,12,11,6,4,0,3,0,1
Bradford,Rochdale,10/01/2015,1,2,1,1,11,6,3,2,11,11,6,0,2,1,1,0
Bristol City,Notts County,10/01/2015,4,0,2,0,12,7,10,2,11,8,5,5,0,0,0,0
Chesterfield,Port Vale,10/01/2015,3,0,1,0,19,12,7,3,7,8,4,3,1,4,0,0
Crawley Town,Milton Keynes Dons,10/01/2015,2,2,1,0,4,17,3,8,19,8,0,9,1,3,0,0
Crewe,Gillingham,10/01/2015,3,1,2,0,13,9,8,3,13,19,2,3,0,2,0,0
Leyton Orient,Fleetwood Town,10/01/2015,0,1,0,0,14,10,4,3,12,9,4,4,3,2,0,0
Oldham,Doncaster,10/01/2015,2,2,1,0,10,11,3,4,9,11,6,3,0,3,1,0
Peterboro,Colchester,10/01/2015,0,2,0,0,13,8,4,3,7,12,7,2,5,3,0,0
Sheffield United,Preston,10/01/2015,2,1,0,0,15,15,5,3,12,21,7,3,1,4,0,0
Walsall,Scunthorpe,10/01/2015,1,4,0,2,18,5,6,3,15,7,4,2,2,1,0,0
Coventry,Swindon,12/01/2015,0,3,0,2,8,11,3,4,21,9,3,2,2,1,0,0
Preston,Leyton Orient,16/01/2015,2,2,1,1,22,7,5,5,8,11,5,3,1,1,0,0
Colchester,Walsall,17/01/2015,0,2,0,1,11,12,6,4,7,10,6,3,1,1,0,0
Doncaster,Barnsley,17/01/2015,1,0,0,0,16,4,8,1,10,18,7,2,1,3,0,1
Fleetwood Town,Oldham,17/01/2015,0,2,0,0,11,14,3,6,15,6,7,1,2,0,0,0
Gillingham,Coventry,17/01/2015,3,1,0,1,19,8,5,3,12,5,7,3,2,1,0,0
Milton Keynes Dons,Sheffield United,17/01/2015,1,0,0,0,8,7,3,1,13,11,4,4,3,2,0,0
Notts County,Crewe,17/01/2015,2,1,1,0,17,7,5,2,17,11,2,3,2,2,1,0
Port Vale,Peterboro,17/01/2015,2,1,1,1,12,9,4,5,11,7,9,4,0,1,0,0
Rochdale,Crawley Town,17/01/2015,4,1,2,0,14,7,10,2,6,12,7,8,0,1,0,0
Scunthorpe,Bristol City,17/01/2015,0,2,0,1,12,14,5,6,8,7,10,7,0,1,0,0
Swindon,Chesterfield,17/01/2015,3,1,2,1,10,6,5,2,8,14,4,6,0,2,0,0
Yeovil,Bradford,17/01/2015,1,0,1,0,7,9,4,3,11,17,2,7,2,1,0,0
Doncaster,Notts County,20/01/2015,0,0,0,0,18,3,5,0,11,9,9,4,1,2,0,1
Preston,Yeovil,20/01/2015,1,1,0,1,16,9,3,3,9,11,9,3,0,2,0,0
Colchester,Leyton Orient,24/01/2015,2,0,1,0,5,11,3,7,11,9,6,7,2,1,1,0
Fleetwood Town,Crawley Town,24/01/2015,1,0,1,0,15,4,8,0,14,12,10,6,1,1,0,0
Gillingham,Oldham,24/01/2015,3,2,2,2,5,14,5,5,15,5,3,7,3,3,0,0
Milton Keynes Dons,Barnsley,24/01/2015,2,0,0,0,19,4,8,1,8,12,10,1,0,1,0,0
Notts County,Peterboro,24/01/2015,1,2,1,1,15,13,8,7,11,16,7,4,2,3,0,0
Port Vale,Crewe,24/01/2015,0,1,0,1,15,13,5,7,12,7,6,4,1,1,0,0
Yeovil,Coventry,24/01/2015,0,0,0,0,11,10,1,3,10,7,5,6,1,0,0,0
Chesterfield,Crawley Town,27/01/2015,3,0,1,0,20,4,8,2,7,9,7,3,0,1,0,0
Scunthorpe,Milton Keynes Dons,27/01/2015,1,1,0,0,6,14,5,6,10,6,5,5,3,1,0,0
Barnsley,Port Vale,31/01/2015,2,1,1,0,9,13,5,4,13,6,9,8,4,2,0,0
Bradford,Colchester,31/01/2015,1,1,0,1,15,4,7,3,10,8,8,1,1,3,0,0
Chesterfield,Doncaster,31/01/2015,2,2,1,2,16,9,6,7,8,10,11,4,2,0,0,0
Coventry,Rochdale,31/01/2015,2,2,2,1,10,11,6,5,13,19,3,8,2,4,0,0
Crawley Town,Preston,31/01/2015,2,1,1,0,6,10,3,4,8,9,2,7,1,1,0,0
Crewe,Milton Keynes Dons,31/01/2015,0,5,0,3,5,13,2,9,8,12,8,4,1,3,0,0
Leyton Orient,Scunthorpe,31/01/2015,1,4,0,2,19,9,8,5,6,18,3,6,1,1,0,0
Oldham,Notts County,31/01/2015,3,0,2,0,15,10,7,3,7,6,3,13,0,2,0,0
Peterboro,Yeovil,31/01/2015,1,0,1,0,7,10,3,2,4,9,4,4,0,0,0,0
Sheffield United,Swindon,31/01/2015,2,0,0,0,11,12,6,5,18,19,3,3,3,6,0,0
Bristol City,Fleetwood Town,01/02/2015,2,0,0,0,19,13,5,4,9,15,8,9,2,4,0,0
Walsall,Gillingham,01/02/2015,1,1,0,0,15,5,8,2,12,16,8,4,1,5,0,0
Barnsley,Oldham,03/02/2015,1,0,1,0,6,7,1,1,12,8,2,6,0,1,0,0
