HomeTeam,AwayTeam,Date,FTHG,FTAG,HTHG,HTAG,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
Shrewsbury,Notts County,23/11/2013,1,0,0,0,14,15,7,6,9,13,6,9,0,1,0,0
Swindon,Leyton Orient,23/11/2013,1,3,1,2,9,11,3,6,16,13,5,6,2,2,1,0
Wolves,Brentford,23/11/2013,0,0,0,0,11,11,3,7,12,11,6,4,0,2,0,0
Bradford,Notts County,26/11/2013,1,1,0,1,13,9,7,5,14,14,5,2,0,4,0,1
Brentford,Peterboro,26/11/2013,3,2,1,0,12,10,9,4,13,9,6,4,0,2,0,0
Bristol City,Leyton Orient,26/11/2013,2,2,0,1,19,7,5,5,14,14,9,4,2,2,0,0
Carlisle,Crewe,26/11/2013,2,1,2,0,14,9,5,6,11,11,4,11,1,1,0,0
Colchester,Milton Keynes Dons,26/11/2013,3,1,2,0,18,11,6,4,9,6,5,10,1,0,0,0
Coventry,Rotherham,26/11/2013,0,3,0,0,9,6,2,3,10,9,2,2,2,0,0,0
Crawley Town,Swindon,26/11/2013,0,0,0,0,12,8,7,0,10,11,2,8,1,1,0,1
Gillingham,Stevenage,26/11/2013,3,2,0,1,10,7,6,3,6,12,8,3,0,1,0,0
Port Vale,Preston,26/11/2013,0,2,0,1,4,7,2,5,19,9,13,4,5,3,0,1
Sheffield United,Walsall,26/11/2013,1,1,1,0,6,5,1,3,11,6,5,2,0,0,0,0
Shrewsbury,Oldham,26/11/2013,1,2,1,1,12,10,8,3,8,12,4,3,2,0,0,0
Wolves,Tranmere,26/11/2013,2,0,2,0,23,5,8,1,5,8,7,2,0,2,0,0
Crewe,Crawley Town,30/11/2013,1,0,0,0,8,13,4,4,5,13,4,5,0,2,1,0
Leyton Orient,Sheffield United,30/11/2013,1,1,0,0,15,5,7,3,13,14,5,4,2,3,0,0
Milton Keynes Dons,Coventry,30/11/2013,1,3,1,0,10,13,3,6,16,21,3,7,2,2,0,0
Notts County,Brentford,30/11/2013,0,1,0,1,20,15,7,4,9,9,9,3,2,2,0,0
Peterboro,Wolves,30/11/2013,1,0,0,0,6,15,1,5,13,12,1,3,1,2,0,0
Preston,Bristol City,30/11/2013,1,0,1,0,13,9,7,2,15,7,9,3,2,0,1,1
Rotherham,Gillingham,30/11/2013,4,1,3,0,24,8,6,2,9,6,12,6,0,0,0,0
Stevenage,Shrewsbury,30/11/2013,1,3,1,2,12,11,5,7,9,4,15,3,0,0,0,0
Swindon,Carlisle,30/11/2013,3,1,1,0,10,5,5,2,13,13,5,1,0,2,0,0
Tranmere,Colchester,30/11/2013,2,1,1,0,14,18,8,7,9,9,11,6,0,1,0,0
Walsall,Port Vale,30/11/2013,0,2,0,1,17,6,6,3,6,17,12,2,1,0,0,0
Oldham,Bradford,01/12/2013,1,1,1,1,15,10,3,1,14,13,8,6,1,3,0,0
Notts County,Gillingham,07/12/2013,3,1,1,0,5,10,3,4,8,12,8,10,1,0,0,0
Bradford,Leyton Orient,14/12/2013,1,1,0,1,13,9,4,1,11,12,10,6,0,2,0,0
Brentford,Oldham,14/12/2013,1,0,0,0,9,9,3,1,14,12,10,2,3,2,0,0
Bristol City,Rotherham,14/12/2013,1,2,0,2,15,14,7,8,10,9,11,6,0,0,0,0
Carlisle,Tranmere,14/12/2013,4,1,1,0,17,7,6,1,9,6,11,8,2,2,0,0
Colchester,Notts County,14/12/2013,0,4,0,2,14,17,6,12,11,8,1,8,2,2,0,0
Coventry,Crewe,14/12/2013,2,2,1,1,13,7,5,3,12,13,5,5,1,1,0,0
Crawley Town,Preston,14/12/2013,2,2,0,2,13,11,4,4,6,14,6,4,0,3,0,0
Gillingham,Peterboro,14/12/2013,2,2,0,1,6,13,5,7,12,10,1,7,1,1,0,0
Port Vale,Stevenage,14/12/2013,2,2,1,2,9,10,4,6,6,11,10,6,3,3,0,1
Sheffield United,Swindon,14/12/2013,1,0,0,0,5,5,3,3,12,8,7,3,2,2,0,0
Shrewsbury,Walsall,14/12/2013,0,1,0,0,9,10,3,5,13,2,5,4,1,1,0,0
Wolves,Milton Keynes Dons,14/12/2013,0,2,0,1,13,12,5,7,16,12,5,3,2,1,0,0
Tranmere,Gillingham,20/12/2013,1,2,0,1,15,16,5,8,12,6,10,3,1,2,1,0
Crewe,Shrewsbury,21/12/2013,1,1,1,0,12,13,3,6,5,7,6,5,0,2,0,0
Leyton Orient,Crawley Town,21/12/2013,2,3,1,2,8,5,5,4,8,12,6,6,3,5,0,0
Milton Keynes Dons,Port Vale,21/12/2013,3,0,3,0,19,12,9,4,6,7,11,8,1,0,0,0
Notts County,Bristol City,21/12/2013,1,1,0,1,19,14,4,9,12,16,8,7,3,5,0,0
Oldham,Colchester,21/12/2013,0,2,0,2,18,6,3,1,7,17,8,2,1,2,0,0
Peterboro,Bradford,21/12/2013,2,1,2,0,17,10,6,4,12,8,7,3,1,1,0,0
Preston,Brentford,21/12/2013,0,3,0,2,14,11,6,5,18,12,6,2,4,2,0,0
Rotherham,Wolves,21/12/2013,3,3,2,1,14,7,5,4,14,7,4,5,0,3,0,0
Stevenage,Sheffield United,21/12/2013,0,0,0,0,8,9,0,1,19,13,0,7,3,0,0,0
Swindon,Coventry,21/12/2013,2,1,0,0,14,14,9,7,7,15,7,5,2,5,0,0
Walsall,Carlisle,21/12/2013,2,0,1,0,9,8,4,3,9,10,6,1,2,3,0,1
Bradford,Rotherham,26/12/2013,0,1,0,1,4,10,2,5,14,19,4,5,2,5,0,0
Brentford,Swindon,26/12/2013,3,2,1,1,16,7,9,6,15,8,6,4,5,2,0,0
Bristol City,Walsall,26/12/2013,1,0,1,0,11,10,3,5,13,12,7,8,2,3,0,0
Carlisle,Preston,26/12/2013,0,1,0,1,9,12,3,5,7,11,6,6,1,0,0,0
Colchester,Stevenage,26/12/2013,4,0,3,0,8,10,4,4,8,13,3,4,0,0,0,0
Coventry,Peterboro,26/12/2013,4,2,1,2,25,17,11,5,8,9,9,2,0,0,0,0
Crawley Town,Milton Keynes Dons,26/12/2013,0,2,0,1,10,10,2,4,12,9,2,4,1,3,1,0
Gillingham,Leyton Orient,26/12/2013,1,2,1,0,7,11,4,8,11,12,5,8,2,3,0,0
Port Vale,Notts County,26/12/2013,2,1,1,1,11,5,6,3,7,8,10,4,3,3,0,0
Sheffield United,Oldham,26/12/2013,1,1,0,1,7,7,4,6,15,19,9,3,1,2,0,0
Shrewsbury,Tranmere,26/12/2013,0,1,0,1,13,7,0,4,9,9,5,4,1,2,0,0
Wolves,Crewe,26/12/2013,2,0,1,0,14,8,5,4,14,4,11,6,1,1,0,0
Bradford,Swindon,29/12/2013,1,1,1,0,11,12,3,5,18,6,7,5,2,0,0,0
Brentford,Milton Keynes Dons,29/12/2013,3,1,1,0,11,15,5,1,16,12,3,4,2,4,0,0
Bristol City,Stevenage,29/12/2013,4,1,2,0,10,20,4,8,7,9,2,11,3,2,0,0
Carlisle,Peterboro,29/12/2013,2,1,0,0,12,7,8,3,12,11,8,6,3,3,0,1
Colchester,Crewe,29/12/2013,1,2,1,0,7,9,3,5,9,8,4,10,1,1,0,0
